time_ms,cpu_cores,cpu_psi_some_10,cpu_psi_some_60,cpu_psi_some_300,cpu_psi_full_10,cpu_psi_full_60,cpu_psi_full_300,io_psi_some_10,io_psi_some_60,io_psi_some_300,io_psi_full_10,io_psi_full_60,io_psi_full_300,mem_psi_some_10,mem_psi_some_60,mem_psi_some_300,mem_psi_full_10,mem_psi_full_60,mem_psi_full_300,load_avg_1,load_avg_5,load_avg_15,procs_running,procs_blocked,procs_disk_io
109000,12,1.56,1.3,1.1,0,0,0,0,0.03,0.1,0,0.02,0.07,0,0,0,0,0,0,4.8,3.75,1.91,5,0,0
110000,12,1.64,1.33,1.11,0,0,0,0,0.03,0.1,0,0.02,0.07,0,0,0,0,0,0,4.8,3.75,1.91,5,0,0
111000,12,1.64,1.33,1.11,0,0,0,0,0.03,0.1,0,0.02,0.07,0,0,0,0,0,0,4.74,3.76,1.92,5,0,0
112000,12,1.52,1.31,1.1,0,0,0,0,0.03,0.1,0,0.02,0.07,0,0,0,0,0,0,4.74,3.76,1.92,5,0,0
113000,12,1.52,1.31,1.1,0,0,0,0,0.03,0.1,0,0.02,0.07,0,0,0,0,0,0,4.74,3.76,1.92,6,0,0
114000,12,1.42,1.3,1.1,0,0,0,0,0.03,0.1,0,0.02,0.07,0,0,0,0,0,0,4.74,3.76,1.92,6,0,0
115000,12,1.42,1.3,1.1,0,0,0,0,0.03,0.1,0,0.02,0.07,0,0,0,0,0,0,4.74,3.76,1.92,6,0,0
116000,12,1.53,1.33,1.11,0,0,0,0,0.03,0.09,0,0.02,0.07,0,0,0,0,0,0,4.68,3.76,1.93,5,0,0
117000,12,1.53,1.33,1.11,0,0,0,0,0.03,0.09,0,0.02,0.07,0,0,0,0,0,0,4.68,3.76,1.93,7,0,0
118000,12,1.43,1.31,1.11,0,0,0,0,0.03,0.09,0,0.01,0.07,0,0,0,0,0,0,4.68,3.76,1.93,5,0,0
119000,12,1.43,1.31,1.11,0,0,0,0,0.03,0.09,0,0.01,0.07,0,0,0,0,0,0,4.68,3.76,1.93,5,0,0
