comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
cat[81342],-1,1,1.214,1.214,1.214,1.214,0.00,0
codium:cs0[60382/60361],60361,558,67.547,0.006,0.121,0.314,1.59,0
kworker/0:1H-kb[230],2,691,9.959,0.006,0.014,0.046,1.11,0
kworker/u53:8-t[77174],2,2,0.018,0.006,0.009,0.011,31.07,0
in:imjournal[1662/1623],1623,17,2.217,0.041,0.130,1.140,48.45,0
cat[81334],-1,1,1.258,1.258,1.258,1.258,0.00,0
migration/9[78],2,6,0.057,0.004,0.009,0.017,21.34,0
libuv-worker[60366/60324],60324,35,1.547,0.005,0.044,0.152,15.48,0
kworker/u49:4-b[72422],2,3713,259.492,0.002,0.069,6.811,6.29,0
sed[81318],-1,1,1.770,1.770,1.770,1.770,0.00,0
auditd[926],1,5,0.458,0.065,0.091,0.135,14.55,0
git[81310],-1,1,5.306,5.306,5.306,5.306,0.00,0
gdbus[60350/60324],60324,2,0.227,0.102,0.113,0.124,9.52,0
migration/1[54],2,8,0.101,0.004,0.012,0.023,20.60,0
kworker/u49:0-b[76422],2,7,0.337,0.010,0.048,0.109,25.63,0
postgres[81302],-1,1,8.627,8.627,8.627,8.627,0.00,0
libuv-worker[60630/60557],60557,6,0.146,0.008,0.024,0.041,21.96,0
postgres[81294],-1,2,8.977,1.788,4.488,7.188,60.15,0
kworker/u51:2-h[902],2,63,1.315,0.009,0.020,0.041,4.02,0
postgres[81286],-1,2,8.384,3.333,4.192,5.050,20.48,0
libuv-worker[60614/60544],60544,6,0.198,0.024,0.033,0.043,8.22,0
migration/4[30],2,5,0.036,0.004,0.007,0.013,21.82,0
pgbench[81278/81273],-1,1,0.100,0.100,0.100,0.100,0.00,0
codium[60606/60539],60539,2,0.199,0.075,0.099,0.124,24.41,0
gsd-sharing[3758],3228,4,0.241,0.032,0.060,0.090,20.08,0
kworker/3:1H-kb[454],2,550,8.237,0.007,0.014,0.086,1.74,0
perf[81270/81257],81257,16,0.510,0.025,0.031,0.040,3.46,0
kworker/u50:14-[79830],2,3956,310.821,0.002,0.078,15.942,9.89,0
kworker/1:1-eve[44790],2,79,0.807,0.004,0.010,0.039,6.22,0
codium[60574/60544],60544,18,2.438,0.007,0.135,0.613,28.98,0
kworker/u49:16-[67750],2,11384,617.378,0.002,0.054,5.938,2.92,0
ThreadPoolServi[60566/60544],60544,2,0.136,0.015,0.068,0.120,76.92,0
VizCompositorTh[60422/60361],60361,1941,446.050,0.012,0.229,1.185,1.76,0
kworker/u50:22-[57118],2,7236,458.447,0.002,0.063,16.364,5.39,0
pool-0[3990/3979],3979,12,0.600,0.006,0.050,0.136,24.84,0
postgres[81303],-1,1,8.216,8.216,8.216,8.216,0.00,0
libuv-worker[60631/60557],60557,7,0.192,0.007,0.027,0.040,15.86,0
gvfs-afc-volume[4071/4067],4067,16,0.346,0.015,0.021,0.037,6.17,0
codium[60343/60324],60324,1,0.547,0.547,0.547,0.547,0.00,0
gmain[1055/991],991,7,0.223,0.003,0.031,0.079,38.82,0
systemd-journal[623],1,6,2.678,0.112,0.446,1.281,40.28,0
cpuUsage.sh[81295],-1,1,0.582,0.582,0.582,0.582,0.00,0
gmain[4063/4027],4027,4,0.201,0.039,0.050,0.059,8.82,0
scx-adapt[81151/81146],81146,8,0.187,0.009,0.023,0.077,33.97,0
postgres[81287],-1,1,8.582,8.582,8.582,8.582,0.00,0
libuv-worker[60615/60544],60544,6,0.262,0.036,0.043,0.059,7.90,0
ksoftirqd/4[31],2,47,0.962,0.006,0.020,0.177,22.62,0
ThreadPoolForeg[60607/60424],60424,48,44.813,0.005,0.933,6.534,21.32,0
kworker/11:1H-k[311],2,561,8.183,0.006,0.014,0.071,1.47,0
unix_chkpwd[81271],-1,1,0.858,0.858,0.858,0.858,0.00,0
codium[60599/60544],60544,2,0.257,0.094,0.128,0.162,26.71,0
ksoftirqd/0[15],2,107,1.141,0.003,0.010,0.072,8.63,0
kworker/u50:5-b[71359],2,1253,89.816,0.002,0.071,15.953,20.34,0
tuned-ppd[1583],1,15,1.227,0.043,0.081,0.208,13.66,0
cpuUsage.sh[-1/81273],-1,10,3.050,0.024,0.305,1.041,40.21,0
codium[60431],60333,1,0.345,0.345,0.345,0.345,0.00,0
gvfsd-wsdd[17503],3489,2,0.189,0.060,0.094,0.129,36.24,0
Mutter Input Th[3575/3513],3513,62,5.408,0.044,0.087,0.156,2.69,0
KMS thread[3551/3513],3513,1979,231.913,0.006,0.117,0.468,1.38,0
codium:gl0[60391/60361],60361,17,1.895,0.012,0.111,0.442,22.89,0
kauditd[95],2,6,0.135,0.017,0.022,0.032,11.22,0
kworker/u50:3-b[76463],2,4986,640.842,0.002,0.128,71.580,16.43,0
cpuUsage.sh[81343],-1,2,0.483,0.012,0.241,0.470,94.75,0
JS Helper[3535/3513],3513,7,0.357,0.009,0.051,0.123,33.83,0
kworker/u53:9-t[77175],2,2,0.022,0.003,0.011,0.018,66.04,0
cpuUsage.sh[81335],-1,1,0.556,0.556,0.556,0.556,0.00,0
kworker/u49:11-[81191],2,2751,134.360,0.002,0.048,3.993,4.47,0
ksoftirqd/9[79],2,48,2.148,0.005,0.044,1.220,57.08,0
kworker/6:0-mm_[77167],2,59,0.835,0.007,0.014,0.040,5.65,0
cat[81327],-1,1,1.282,1.282,1.282,1.282,0.00,0
ThreadPoolForeg[60511/60424],60424,102,108.627,0.006,1.064,10.404,16.36,0
libuv-worker[60367/60324],60324,20,0.622,0.014,0.031,0.060,10.11,0
ibus-daemon[3663],3228,3,0.184,0.014,0.061,0.093,38.81,0
kworker/u49:5-b[72423],2,9156,654.529,0.002,0.071,12.004,3.81,0
postgres[38831],38825,3126,764.099,0.002,0.244,96.863,18.23,0
cat[81319],-1,1,1.176,1.176,1.176,1.176,0.00,0
ThreadPoolForeg[60503/60424],60424,44,31.900,0.004,0.725,6.944,31.08,0
kworker/u50:17-[74999],2,4758,370.083,0.002,0.077,11.854,6.63,0
git[81311],-1,1,6.351,6.351,6.351,6.351,0.00,0
ksoftirqd/1[55],2,97,2.801,0.004,0.028,0.724,31.23,0
