Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
kworker/u50:2-b:342506,146.370 ms,1018,avg:   0.028 ms,max:   5.737 ms,max start: 96446.824524 s,max end: 96446.830262 s
sort:(6),10.821 ms,17,avg:   0.028 ms,max:   0.051 ms,max start: 96467.098239 s,max end: 96467.098290 s
sudo:334383,1.177 ms,23,avg:   0.027 ms,max:   0.181 ms,max start: 96476.415629 s,max end: 96476.415810 s
kworker/u48:0-g:342529,94.265 ms,1268,avg:   0.027 ms,max:   2.225 ms,max start: 96478.876451 s,max end: 96478.878676 s
dbus-broker:967,3.443 ms,60,avg:   0.026 ms,max:   0.174 ms,max start: 96451.742556 s,max end: 96451.742730 s
dockerd:(7),14.357 ms,48,avg:   0.026 ms,max:   0.063 ms,max start: 96461.329454 s,max end: 96461.329517 s
wpa_supplicant:1554,7.947 ms,34,avg:   0.026 ms,max:   0.061 ms,max start: 96469.697169 s,max end: 96469.697230 s
KMS thread:3578,135.785 ms,893,avg:   0.026 ms,max:   0.270 ms,max start: 96447.445524 s,max end: 96447.445793 s
ps:(4),132.882 ms,4,avg:   0.026 ms,max:   0.039 ms,max start: 96450.208379 s,max end: 96450.208418 s
cpuUsage.sh:(69),159.740 ms,420,avg:   0.025 ms,max:   0.138 ms,max start: 96470.967413 s,max end: 96470.967551 s
kworker/u48:2-m:340477,55.722 ms,976,avg:   0.025 ms,max:   0.175 ms,max start: 96480.497934 s,max end: 96480.498109 s
NetworkManager:1458,32.472 ms,174,avg:   0.025 ms,max:   0.112 ms,max start: 96478.051168 s,max end: 96478.051280 s
which:(4),21.930 ms,4,avg:   0.025 ms,max:   0.047 ms,max start: 96450.199422 s,max end: 96450.199469 s
generate-script:(14),54.230 ms,67,avg:   0.025 ms,max:   0.054 ms,max start: 96473.355371 s,max end: 96473.355425 s
wireplumber:3541,0.209 ms,1,avg:   0.024 ms,max:   0.024 ms,max start: 96451.742473 s,max end: 96451.742497 s
collect2:(22),36.678 ms,66,avg:   0.024 ms,max:   0.060 ms,max start: 96477.099279 s,max end: 96477.099339 s
uname:(12),13.983 ms,12,avg:   0.023 ms,max:   0.034 ms,max start: 96445.852739 s,max end: 96445.852773 s
(udev-worker):363134,0.986 ms,1,avg:   0.023 ms,max:   0.023 ms,max start: 96447.684483 s,max end: 96447.684506 s
rtkit-daemon:(2),0.385 ms,10,avg:   0.023 ms,max:   0.059 ms,max start: 96451.503085 s,max end: 96451.503144 s
gsd-sharing:3788,0.448 ms,6,avg:   0.023 ms,max:   0.045 ms,max start: 96474.002579 s,max end: 96474.002624 s
mt76-tx phy0:1394,1.803 ms,72,avg:   0.023 ms,max:   0.069 ms,max start: 96474.448143 s,max end: 96474.448212 s
sleep:(5),7.307 ms,9,avg:   0.023 ms,max:   0.035 ms,max start: 96450.283491 s,max end: 96450.283527 s
psimon:1017,7.896 ms,271,avg:   0.022 ms,max:   0.086 ms,max start: 96479.435459 s,max end: 96479.435545 s
