Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
cmp:(4),5.189 ms,6,avg:   0.027 ms,max:   0.039 ms,max start: 96267.910320 s,max end: 96267.910358 s
ps:(4),135.004 ms,51,avg:   0.026 ms,max:   0.047 ms,max start: 96273.952478 s,max end: 96273.952524 s
evolution-alarm:3915,0.098 ms,1,avg:   0.026 ms,max:   0.026 ms,max start: 96281.000448 s,max end: 96281.000474 s
codium:gdrv0:314628,2.245 ms,23,avg:   0.026 ms,max:   0.047 ms,max start: 96249.516588 s,max end: 96249.516636 s
kworker/u53:14-:341879,0.166 ms,6,avg:   0.026 ms,max:   0.039 ms,max start: 96250.943343 s,max end: 96250.943382 s
(udev-worker):349359,0.763 ms,1,avg:   0.026 ms,max:   0.026 ms,max start: 96250.684470 s,max end: 96250.684496 s
kworker/u49:20-:345037,59.345 ms,287,avg:   0.025 ms,max:   0.875 ms,max start: 96281.449463 s,max end: 96281.450338 s
echo:(15),13.362 ms,17,avg:   0.025 ms,max:   0.205 ms,max start: 96281.332813 s,max end: 96281.333017 s
pwd:(61),56.503 ms,70,avg:   0.024 ms,max:   0.048 ms,max start: 96249.140419 s,max end: 96249.140467 s
btrfs-cleaner:498,0.020 ms,1,avg:   0.024 ms,max:   0.024 ms,max start: 96273.604941 s,max end: 96273.604965 s
basename:(40),53.748 ms,56,avg:   0.024 ms,max:   0.055 ms,max start: 96278.259361 s,max end: 96278.259415 s
mv:(31),65.579 ms,52,avg:   0.024 ms,max:   0.036 ms,max start: 96278.233477 s,max end: 96278.233513 s
tclsh:351803,22.541 ms,4,avg:   0.023 ms,max:   0.032 ms,max start: 96281.119498 s,max end: 96281.119531 s
awk:352589,4.154 ms,3,avg:   0.021 ms,max:   0.026 ms,max start: 96284.999462 s,max end: 96284.999488 s
build-script-bu:351181,0.962 ms,1,avg:   0.021 ms,max:   0.021 ms,max start: 96280.123162 s,max end: 96280.123183 s
expr:(3),5.213 ms,3,avg:   0.021 ms,max:   0.024 ms,max start: 96249.151073 s,max end: 96249.151097 s
rm:(154),148.216 ms,183,avg:   0.021 ms,max:   0.377 ms,max start: 96280.974161 s,max end: 96280.974539 s
kworker/u52:0-t:344868,0.053 ms,2,avg:   0.021 ms,max:   0.024 ms,max start: 96283.139716 s,max end: 96283.139740 s
psimon:1017,5.996 ms,208,avg:   0.020 ms,max:   0.256 ms,max start: 96280.939447 s,max end: 96280.939703 s
dirname:(16),20.272 ms,20,avg:   0.020 ms,max:   0.126 ms,max start: 96281.409635 s,max end: 96281.409761 s
mkdir:(65),86.769 ms,88,avg:   0.020 ms,max:   0.036 ms,max start: 96249.501167 s,max end: 96249.501202 s
ar:351157,179.038 ms,213,avg:   0.020 ms,max:   0.051 ms,max start: 96279.862404 s,max end: 96279.862456 s
opt cgu.0:(2),9.825 ms,27,avg:   0.019 ms,max:   0.034 ms,max start: 96280.258317 s,max end: 96280.258352 s
kworker/u52:6-t:340525,0.042 ms,2,avg:   0.019 ms,max:   0.021 ms,max start: 96283.140176 s,max end: 96283.140197 s
mt76-tx phy0:1394,1.553 ms,61,avg:   0.019 ms,max:   0.075 ms,max start: 96282.467536 s,max end: 96282.467611 s
migration/6:36,0.206 ms,10,avg:   0.018 ms,max:   0.029 ms,max start: 96251.620065 s,max end: 96251.620094 s
ln:(148),165.020 ms,233,avg:   0.018 ms,max:   0.052 ms,max start: 96280.983429 s,max end: 96280.983481 s
pcscd:3999,0.068 ms,2,avg:   0.017 ms,max:   0.023 ms,max start: 96285.920559 s,max end: 96285.920581 s
kworker/9:1H-kb:409,1.348 ms,26,avg:   0.016 ms,max:   0.033 ms,max start: 96273.571998 s,max end: 96273.572031 s
gix::dirwalk::i:351167,8.312 ms,32,avg:   0.015 ms,max:   0.034 ms,max start: 96279.974766 s,max end: 96279.974800 s
kworker/8:1H-kb:285,0.792 ms,16,avg:   0.015 ms,max:   0.035 ms,max start: 96250.077544 s,max end: 96250.077579 s
migration/0:19,0.179 ms,10,avg:   0.015 ms,max:   0.026 ms,max start: 96267.619670 s,max end: 96267.619696 s
migration/10:48,0.167 ms,10,avg:   0.014 ms,max:   0.020 ms,max start: 96259.620351 s,max end: 96259.620371 s
kworker/11:1H-k:410,1.144 ms,33,avg:   0.014 ms,max:   0.028 ms,max start: 96273.578200 s,max end: 96273.578228 s
migration/11:84,0.143 ms,9,avg:   0.013 ms,max:   0.019 ms,max start: 96279.620415 s,max end: 96279.620434 s
migration/2:24,0.161 ms,10,avg:   0.013 ms,max:   0.019 ms,max start: 96271.619778 s,max end: 96271.619797 s
migration/4:30,0.156 ms,10,avg:   0.013 ms,max:   0.021 ms,max start: 96275.619870 s,max end: 96275.619891 s
migration/3:60,0.155 ms,10,avg:   0.013 ms,max:   0.020 ms,max start: 96263.619829 s,max end: 96263.619849 s
migration/8:42,0.172 ms,11,avg:   0.013 ms,max:   0.020 ms,max start: 96263.620265 s,max end: 96263.620284 s
migration/9:78,0.144 ms,10,avg:   0.013 ms,max:   0.019 ms,max start: 96279.620317 s,max end: 96279.620336 s
migration/5:66,0.150 ms,10,avg:   0.013 ms,max:   0.019 ms,max start: 96275.619985 s,max end: 96275.620004 s
migration/7:72,0.144 ms,10,avg:   0.013 ms,max:   0.016 ms,max start: 96251.620153 s,max end: 96251.620169 s
lto cgu.0:351191,7.458 ms,1,avg:   0.012 ms,max:   0.012 ms,max start: 96280.263624 s,max end: 96280.263637 s
date:351920,1.067 ms,1,avg:   0.011 ms,max:   0.011 ms,max start: 96281.482212 s,max end: 96281.482223 s
migration/1:54,0.129 ms,10,avg:   0.011 ms,max:   0.016 ms,max start: 96279.619759 s,max end: 96279.619775 s
