Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
gssproxy:1543,0.090 ms,1,avg:   0.015 ms,max:   0.015 ms,max start: 95911.179440 s,max end: 95911.179455 s
kworker/u49:6-b:342463,602.086 ms,8521,avg:   0.015 ms,max:   0.173 ms,max start: 95910.703453 s,max end: 95910.703626 s
kworker/u52:2-t:340222,0.036 ms,2,avg:   0.015 ms,max:   0.020 ms,max start: 95906.941993 s,max end: 95906.942013 s
kworker/u49:11-:342471,1394.175 ms,13657,avg:   0.015 ms,max:   0.448 ms,max start: 95915.352021 s,max end: 95915.352470 s
kworker/4:1H-kb:296,11.044 ms,748,avg:   0.015 ms,max:   0.711 ms,max start: 95915.396955 s,max end: 95915.397666 s
wsdd:16229,0.438 ms,2,avg:   0.015 ms,max:   0.015 ms,max start: 95902.955512 s,max end: 95902.955527 s
abrt-dump-journ:(3),0.260 ms,3,avg:   0.015 ms,max:   0.022 ms,max start: 95902.934426 s,max end: 95902.934447 s
kworker/u50:2-b:342506,150.176 ms,1693,avg:   0.015 ms,max:   0.134 ms,max start: 95906.911456 s,max end: 95906.911590 s
goa-identity-se:4047,0.176 ms,3,avg:   0.014 ms,max:   0.018 ms,max start: 95911.945443 s,max end: 95911.945461 s
libuv-worker:(8),0.615 ms,24,avg:   0.014 ms,max:   0.031 ms,max start: 95915.854642 s,max end: 95915.854673 s
CacheThread_Blo:314630,0.116 ms,2,avg:   0.014 ms,max:   0.017 ms,max start: 95909.824441 s,max end: 95909.824458 s
kworker/0:1H-kb:236,10.983 ms,737,avg:   0.014 ms,max:   0.417 ms,max start: 95916.749822 s,max end: 95916.750239 s
kworker/8:1H-kb:285,10.749 ms,723,avg:   0.014 ms,max:   1.070 ms,max start: 95914.224390 s,max end: 95914.225460 s
kworker/6:1H-kb:143,11.638 ms,789,avg:   0.013 ms,max:   0.333 ms,max start: 95902.755544 s,max end: 95902.755877 s
rtkit-daemon:(2),0.090 ms,4,avg:   0.013 ms,max:   0.027 ms,max start: 95913.224015 s,max end: 95913.224042 s
btrfs-transacti:499,467.838 ms,188,avg:   0.013 ms,max:   0.032 ms,max start: 95913.095675 s,max end: 95913.095708 s
kworker/10:1H-k:117,10.876 ms,732,avg:   0.012 ms,max:   0.089 ms,max start: 95915.532216 s,max end: 95915.532306 s
kworker/4:2-cgr:339547,0.064 ms,1,avg:   0.012 ms,max:   0.012 ms,max start: 95917.107486 s,max end: 95917.107498 s
ThreadPoolServi:314640,0.131 ms,2,avg:   0.012 ms,max:   0.014 ms,max start: 95907.298107 s,max end: 95907.298121 s
migration/5:66,0.069 ms,5,avg:   0.012 ms,max:   0.022 ms,max start: 95903.619987 s,max end: 95903.620009 s
psimon:1017,1.859 ms,132,avg:   0.011 ms,max:   0.229 ms,max start: 95916.467451 s,max end: 95916.467679 s
migration/7:72,0.054 ms,5,avg:   0.011 ms,max:   0.027 ms,max start: 95915.620148 s,max end: 95915.620175 s
migration/1:54,0.078 ms,5,avg:   0.010 ms,max:   0.015 ms,max start: 95907.619745 s,max end: 95907.619760 s
sleep:(2),1.513 ms,3,avg:   0.009 ms,max:   0.011 ms,max start: 95908.106202 s,max end: 95908.106213 s
