comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
cc[78440],-1,1,0.647,0.647,0.647,0.647,0.00,0
sed[80880],-1,1,1.780,1.780,1.780,1.780,0.00,0
as[78296],-1,1,5.204,5.204,5.204,5.204,0.00,0
pwd[80736],-1,1,0.604,0.604,0.604,0.604,0.00,0
cc1[78152],-1,1,292.997,292.997,292.997,292.997,0.00,0
cc1[80592],-1,1,198.554,198.554,198.554,198.554,0.00,0
as[78008],-1,1,13.702,13.702,13.702,13.702,0.00,0
as[80448],-1,2,3.280,0.023,1.640,3.256,98.56,0
as[77864],-1,1,4.767,4.767,4.767,4.767,0.00,0
mkdir[80304],-1,1,1.268,1.268,1.268,1.268,0.00,0
msgfmt[80160],-1,1,2.052,2.052,2.052,2.052,0.00,0
sh[80016],-1,1,0.361,0.361,0.361,0.361,0.00,0
sh[79872],-1,1,0.333,0.333,0.333,0.333,0.00,0
rm[79728],-1,1,1.058,1.058,1.058,1.058,0.00,0
sh[79584],-1,1,0.365,0.365,0.365,0.365,0.00,0
sed[79440],-1,1,3.426,3.426,3.426,3.426,0.00,0
mv[79296],-1,1,1.892,1.892,1.892,1.892,0.00,0
cpuUsage.sh[79152],-1,1,0.457,0.457,0.457,0.457,0.00,0
sh[79008],-1,1,0.590,0.590,0.590,0.590,0.00,0
gopls[60920/60915],60915,4,0.054,0.006,0.013,0.018,17.51,0
cc[78864],-1,1,0.566,0.566,0.566,0.566,0.00,0
cc1[78720],-1,1,196.828,196.828,196.828,196.828,0.00,0
libuv-worker[60632/60557],60557,16,0.387,0.008,0.024,0.045,12.43,0
cc1[78576],-1,1,86.738,86.738,86.738,86.738,0.00,0
abrt-dump-journ[1200],1,1,0.132,0.132,0.132,0.132,0.00,0
mv[81016],-1,1,1.365,1.365,1.365,1.365,0.00,0
as[78432],-1,1,4.434,4.434,4.434,4.434,0.00,0
codium[60344/60324],60324,2,0.095,0.011,0.047,0.083,75.09,0
sh[80872],-1,1,0.251,0.251,0.251,0.251,0.00,0
cc1[78288],-1,1,61.274,61.274,61.274,61.274,0.00,0
pwd[80728],-1,1,0.670,0.670,0.670,0.670,0.00,0
cc[78144],-1,1,0.709,0.709,0.709,0.709,0.00,0
cc[80584],-1,1,0.534,0.534,0.534,0.534,0.00,0
cc[78000],-1,1,0.482,0.482,0.482,0.482,0.00,0
cc1[80440],-1,1,51.544,51.544,51.544,51.544,0.00,0
cc1[77856],-1,1,104.230,104.230,104.230,104.230,0.00,0
ld[80296],-1,1,15.147,15.147,15.147,15.147,0.00,0
msgfmt[80152],-1,1,5.566,5.566,5.566,5.566,0.00,0
sh[80008],-1,1,0.331,0.331,0.331,0.331,0.00,0
migration/10[48],2,34,0.594,0.006,0.017,0.030,6.72,0
ln[79864],-1,2,1.281,0.019,0.640,1.261,96.95,0
