Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
which:(4),22.698 ms,6,avg:   0.026 ms,max:   0.036 ms,max start: 32110.700036 s,max end: 32110.700073 s
NetworkManager:1436,39.929 ms,208,avg:   0.026 ms,max:   0.557 ms,max start: 32109.383510 s,max end: 32109.384067 s
kworker/5:1H-kb:290,0.233 ms,8,avg:   0.026 ms,max:   0.077 ms,max start: 32107.067489 s,max end: 32107.067566 s
tuned-ppd:1583,3.424 ms,34,avg:   0.026 ms,max:   0.051 ms,max start: 32085.561222 s,max end: 32085.561273 s
gssproxy:1536,0.415 ms,4,avg:   0.025 ms,max:   0.029 ms,max start: 32093.895459 s,max end: 32093.895488 s
gopls:(10),3.066 ms,26,avg:   0.025 ms,max:   0.055 ms,max start: 32097.329935 s,max end: 32097.329989 s
kworker/2:1H-kb:244,0.353 ms,13,avg:   0.024 ms,max:   0.040 ms,max start: 32109.529616 s,max end: 32109.529656 s
tr:(30),39.635 ms,44,avg:   0.024 ms,max:   0.039 ms,max start: 32112.995302 s,max end: 32112.995341 s
ksoftirqd/3:61,1.849 ms,67,avg:   0.024 ms,max:   0.068 ms,max start: 32088.627491 s,max end: 32088.627558 s
pool-1:3850,0.132 ms,3,avg:   0.024 ms,max:   0.045 ms,max start: 32092.747460 s,max end: 32092.747505 s
basename:(40),51.383 ms,45,avg:   0.024 ms,max:   0.144 ms,max start: 32106.459776 s,max end: 32106.459921 s
kworker/u52:2-t:77020,0.024 ms,1,avg:   0.024 ms,max:   0.024 ms,max start: 32102.098479 s,max end: 32102.098502 s
fprintd:77481,0.278 ms,1,avg:   0.023 ms,max:   0.023 ms,max start: 32088.030457 s,max end: 32088.030480 s
psimon:1005,2.371 ms,89,avg:   0.023 ms,max:   0.226 ms,max start: 32109.684442 s,max end: 32109.684668 s
kworker/1:1H-kb:116,0.330 ms,9,avg:   0.022 ms,max:   0.114 ms,max start: 32108.246942 s,max end: 32108.247056 s
gsd-media-keys:3703,0.077 ms,1,avg:   0.022 ms,max:   0.022 ms,max start: 32088.036700 s,max end: 32088.036722 s
rcu_exp_gp_kthr:18,0.028 ms,1,avg:   0.022 ms,max:   0.022 ms,max start: 32088.031969 s,max end: 32088.031992 s
kworker/u49:6-b:77169,86.310 ms,884,avg:   0.021 ms,max:   1.788 ms,max start: 32108.395256 s,max end: 32108.397045 s
cmp:(4),4.711 ms,6,avg:   0.021 ms,max:   0.032 ms,max start: 32080.551032 s,max end: 32080.551064 s
mt76-tx phy0:1194,0.460 ms,17,avg:   0.021 ms,max:   0.043 ms,max start: 32091.780424 s,max end: 32091.780468 s
curl-config:(4),7.085 ms,6,avg:   0.020 ms,max:   0.025 ms,max start: 32079.957245 s,max end: 32079.957270 s
kworker/u49:4-f:72422,95.991 ms,1167,avg:   0.020 ms,max:   3.244 ms,max start: 32109.394230 s,max end: 32109.397474 s
expr:(3),6.236 ms,4,avg:   0.020 ms,max:   0.026 ms,max start: 32080.214824 s,max end: 32080.214850 s
dirname:(16),19.914 ms,19,avg:   0.020 ms,max:   0.032 ms,max start: 32109.823906 s,max end: 32109.823939 s
irq/9-acpi:106,0.124 ms,2,avg:   0.020 ms,max:   0.024 ms,max start: 32086.289728 s,max end: 32086.289752 s
btrfs-cleaner:500,0.013 ms,1,avg:   0.020 ms,max:   0.020 ms,max start: 32105.600964 s,max end: 32105.600984 s
crond:1640,0.064 ms,1,avg:   0.019 ms,max:   0.019 ms,max start: 32093.893513 s,max end: 32093.893533 s
uname:(12),11.741 ms,13,avg:   0.019 ms,max:   0.028 ms,max start: 32080.245188 s,max end: 32080.245216 s
kworker/u49:10-:74065,126.072 ms,1111,avg:   0.019 ms,max:   2.442 ms,max start: 32107.211020 s,max end: 32107.213462 s
echo:(15),12.565 ms,21,avg:   0.019 ms,max:   0.046 ms,max start: 32109.730945 s,max end: 32109.730991 s
ksoftirqd/5:67,1.031 ms,45,avg:   0.019 ms,max:   0.046 ms,max start: 32094.033759 s,max end: 32094.033805 s
kworker/u49:16-:67750,82.357 ms,1994,avg:   0.019 ms,max:   1.517 ms,max start: 32107.964938 s,max end: 32107.966455 s
pcscd:4147,0.080 ms,2,avg:   0.017 ms,max:   0.025 ms,max start: 32092.747547 s,max end: 32092.747572 s
mv:(31),60.076 ms,38,avg:   0.016 ms,max:   0.027 ms,max start: 32106.508330 s,max end: 32106.508356 s
abrt-dbus:4190,0.087 ms,1,avg:   0.016 ms,max:   0.016 ms,max start: 32088.034002 s,max end: 32088.034018 s
kworker/u49:2-e:71449,86.694 ms,962,avg:   0.016 ms,max:   1.995 ms,max start: 32110.662460 s,max end: 32110.664455 s
kworker/3:1H-kb:454,0.529 ms,16,avg:   0.016 ms,max:   0.044 ms,max start: 32080.624422 s,max end: 32080.624465 s
kworker/u49:1-b:76428,5.867 ms,48,avg:   0.015 ms,max:   0.151 ms,max start: 32107.067168 s,max end: 32107.067318 s
kworker/4:1H-kb:141,0.148 ms,8,avg:   0.013 ms,max:   0.043 ms,max start: 32094.772456 s,max end: 32094.772499 s
kworker/9:1H-kb:301,0.433 ms,6,avg:   0.013 ms,max:   0.029 ms,max start: 32107.967529 s,max end: 32107.967558 s
(sd-close):78313,0.748 ms,1,avg:   0.012 ms,max:   0.012 ms,max start: 32088.033132 s,max end: 32088.033145 s
ksoftirqd/9:79,0.617 ms,20,avg:   0.012 ms,max:   0.036 ms,max start: 32094.214750 s,max end: 32094.214785 s
kworker/u49:13-:67747,43.500 ms,544,avg:   0.012 ms,max:   0.339 ms,max start: 32107.183042 s,max end: 32107.183380 s
lto cgu.0:79516,8.283 ms,9,avg:   0.012 ms,max:   0.021 ms,max start: 32108.658179 s,max end: 32108.658200 s
tclsh:80130,28.877 ms,23,avg:   0.012 ms,max:   0.020 ms,max start: 32109.507665 s,max end: 32109.507685 s
(sd-rmrf):(2),3.438 ms,2,avg:   0.012 ms,max:   0.013 ms,max start: 32088.036581 s,max end: 32088.036593 s
kworker/0:1H-kb:230,0.063 ms,3,avg:   0.012 ms,max:   0.018 ms,max start: 32087.091479 s,max end: 32087.091498 s
libusb_event:77486,0.067 ms,1,avg:   0.011 ms,max:   0.011 ms,max start: 32088.030689 s,max end: 32088.030701 s
migration/8:42,0.994 ms,47,avg:   0.010 ms,max:   0.027 ms,max start: 32088.233430 s,max end: 32088.233457 s
migration/6:36,0.979 ms,45,avg:   0.010 ms,max:   0.024 ms,max start: 32080.478883 s,max end: 32080.478907 s
migration/9:78,0.552 ms,29,avg:   0.010 ms,max:   0.018 ms,max start: 32080.478983 s,max end: 32080.479001 s
migration/0:19,1.231 ms,54,avg:   0.010 ms,max:   0.026 ms,max start: 32100.478478 s,max end: 32100.478504 s
gix::dirwalk::i:79492,9.109 ms,23,avg:   0.010 ms,max:   0.026 ms,max start: 32108.194302 s,max end: 32108.194328 s
migration/2:24,0.445 ms,25,avg:   0.010 ms,max:   0.022 ms,max start: 32096.478635 s,max end: 32096.478657 s
migration/7:72,0.851 ms,43,avg:   0.009 ms,max:   0.020 ms,max start: 32080.478888 s,max end: 32080.478908 s
kworker/8:1H-kb:291,2.644 ms,59,avg:   0.009 ms,max:   0.027 ms,max start: 32080.713434 s,max end: 32080.713461 s
migration/11:84,0.709 ms,37,avg:   0.009 ms,max:   0.017 ms,max start: 32088.479092 s,max end: 32088.479109 s
